Id,"Product Name","Created Date",Description,"Product Type",Categories,Price,"Short Description","Product Status",Permalink,Tags,SKU,"Sale Price",Visibility,"On Sale","Stock Status","Regular Price","Total Sales",Downloadable,Virtual,"Purchase Note",Weight,Length,Width,Height,Unit,"Sold Individually","Manage Stock",Stock,"Backorders Allowed",Backorders,Purchaseable,Featured,"Is Taxable","Tax Status","Tax Class","Product Images","Product Image Set","Download Limit","Download Expiry","Downloadable Files","Download Type","Product URL","Button Text","Shipping Required","Shipping Taxable","Shipping Class","Shipping Class Id","Comment Status","Average Rating","Rating Count","Related Ids","Upsell Ids","Cross Sell Ids",Attributes,"Custom Fields","Product Parent id","Variation Description","Menu Order","Comment Status","Ping Status"
75,"Women's Sweat Pants","2016-11-15 17:49:22",,variation,"[{""name"":""Apparel"",""slug"":""apparel""},{""name"":""Men"",""slug"":""men""},{""name"":""Sweatpants"",""slug"":""sweatpants""},{""name"":""Women"",""slug"":""women""}]",25,,publish,http://camptracy.nlcinkstore.com/product/women-sweat-pants/?attribute_pa_size=2xl&attribute_pa_color=gray,"Camp Tracy,Sweatpants,Women",,,visible,no,instock,25,0,no,no,,2.50,12,12,6,in,no,no,,no,no,yes,no,yes,taxable,,http://camptracy.nlcinkstore.com/wp-content/uploads/2016/11/ayc-ct-swetpants-womens-pink.png,no,,,a:0:{},,,,yes,yes,,,open,0.00,0,,,,[],"a:22:{s:17:""_vc_post_settings"";a:1:{i:0;s:30:""a:1:{s:10:""vc_grid_id"";a:0:{}}"";}s:18:""attribute_pa_color"";a:1:{i:0;s:4:""gray"";}s:17:""attribute_pa_size"";a:1:{i:0;s:3:""2xl"";}s:13:""_stock_status"";a:1:{i:0;s:7:""instock"";}s:14:""_regular_price"";a:1:{i:0;s:2:""25"";}s:11:""_sale_price"";a:1:{i:0;s:0:"""";}s:22:""_sale_price_dates_from"";a:1:{i:0;s:0:"""";}s:20:""_sale_price_dates_to"";a:1:{i:0;s:0:"""";}s:6:""_price"";a:1:{i:0;s:2:""25"";}s:4:""_sku"";a:1:{i:0;s:0:"""";}s:13:""_thumbnail_id"";a:1:{i:0;s:1:""0"";}s:8:""_virtual"";a:1:{i:0;s:2:""no"";}s:13:""_downloadable"";a:1:{i:0;s:2:""no"";}s:7:""_weight"";a:1:{i:0;s:0:"""";}s:7:""_length"";a:1:{i:0;s:0:"""";}s:6:""_width"";a:1:{i:0;s:0:"""";}s:7:""_height"";a:1:{i:0;s:0:"""";}s:13:""_manage_stock"";a:1:{i:0;s:2:""no"";}s:15:""_download_limit"";a:1:{i:0;s:0:"""";}s:16:""_download_expiry"";a:1:{i:0;s:0:"""";}s:19:""_downloadable_files"";a:1:{i:0;s:0:"""";}s:22:""_variation_description"";a:1:{i:0;s:0:"""";}}",73,,0,open,open
88,"Women's Sweat Pants","2016-11-15 17:49:22",,variation,"[{""name"":""Apparel"",""slug"":""apparel""},{""name"":""Men"",""slug"":""men""},{""name"":""Sweatpants"",""slug"":""sweatpants""},{""name"":""Women"",""slug"":""women""}]",25,,publish,http://camptracy.nlcinkstore.com/product/women-sweat-pants/?attribute_pa_size=s&attribute_pa_color=forest-green,"Camp Tracy,Sweatpants,Women",,,visible,no,instock,25,0,no,no,,2.50,12,12,6,in,no,no,,no,no,yes,no,yes,taxable,,http://camptracy.nlcinkstore.com/wp-content/uploads/2016/11/ayc-ct-swetpants-womens-pink.png,no,,,a:0:{},,,,yes,yes,,,open,0.00,0,,,,[],"a:9:{s:17:""_vc_post_settings"";a:1:{i:0;s:30:""a:1:{s:10:""vc_grid_id"";a:0:{}}"";}s:18:""attribute_pa_color"";a:1:{i:0;s:12:""forest-green"";}s:17:""attribute_pa_size"";a:1:{i:0;s:1:""s"";}s:13:""_stock_status"";a:1:{i:0;s:7:""instock"";}s:14:""_regular_price"";a:1:{i:0;s:2:""25"";}s:11:""_sale_price"";a:1:{i:0;s:0:"""";}s:22:""_sale_price_dates_from"";a:1:{i:0;s:0:"""";}s:20:""_sale_price_dates_to"";a:1:{i:0;s:0:"""";}s:6:""_price"";a:1:{i:0;s:2:""25"";}}",73,,0,open,open
89,"Men's Sweat Pants","2016-11-15 17:49:33",,variable,"[{""name"":""Apparel"",""slug"":""apparel""},{""name"":""Men"",""slug"":""men""},{""name"":""Sweatpants"",""slug"":""sweatpants""}]",25.00,,publish,http://camptracy.nlcinkstore.com/product/mens-sweat-pants/,"Camp Tracy,Men,Sweatpants",,,visible,no,instock,,0,no,no,,2.50,12,12,6,in,no,no,,,no,yes,no,yes,taxable,,"http://camptracy.nlcinkstore.com/wp-content/uploads/2016/11/ayc-ct-swetpants-mens-green.png,http://camptracy.nlcinkstore.com/wp-content/uploads/2016/11/ayc-ct-swetpants-mens-gray.png,http://camptracy.nlcinkstore.com/wp-content/uploads/2016/11/ayc-ct-swetpants-mens-green.png",yes,,,a:0:{},,,,yes,yes,,,open,0.00,0,,,,"[{""name"":""pa_size""||""value"":""S, M, L, XL, 2XL""||""position"":""0""||""is_visible"":""1""||""is_variation"":""1""||""is_taxonomy"":""1""}||{""name"":""pa_color""||""value"":""Forest Green, Gray""||""position"":""3""||""is_visible"":""1""||""is_variation"":""1""||""is_taxonomy"":""1""}]","a:52:{s:17:""_vc_post_settings"";a:1:{i:0;s:30:""a:1:{s:10:""vc_grid_id"";a:0:{}}"";}s:10:""_edit_last"";a:1:{i:0;s:1:""1"";}s:10:""_edit_lock"";a:1:{i:0;s:12:""1479331368:1"";}s:19:""_product_attributes"";a:1:{i:0;s:320:""a:2:{s:7:""pa_size"";a:6:{s:4:""name"";s:7:""pa_size"";s:5:""value"";s:0:"""";s:8:""position"";s:1:""0"";s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:1;}s:8:""pa_color"";a:6:{s:4:""name"";s:8:""pa_color"";s:5:""value"";s:0:"""";s:8:""position"";s:1:""3"";s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:1;}}"";}s:13:""_downloadable"";a:1:{i:0;s:2:""no"";}s:8:""_virtual"";a:1:{i:0;s:2:""no"";}s:20:""_min_variation_price"";a:1:{i:0;s:5:""25.00"";}s:20:""_max_variation_price"";a:1:{i:0;s:5:""25.00"";}s:23:""_min_price_variation_id"";a:1:{i:0;s:3:""105"";}s:23:""_max_price_variation_id"";a:1:{i:0;s:3:""105"";}s:28:""_min_variation_regular_price"";a:1:{i:0;s:5:""25.00"";}s:28:""_max_variation_regular_price"";a:1:{i:0;s:5:""25.00"";}s:31:""_min_regular_price_variation_id"";a:1:{i:0;s:3:""105"";}s:31:""_max_regular_price_variation_id"";a:1:{i:0;s:3:""105"";}s:25:""_min_variation_sale_price"";a:1:{i:0;N;}s:25:""_max_variation_sale_price"";a:1:{i:0;N;}s:28:""_min_sale_price_variation_id"";a:1:{i:0;N;}s:28:""_max_sale_price_variation_id"";a:1:{i:0;N;}s:19:""_default_attributes"";a:1:{i:0;s:6:""a:0:{}"";}s:11:""_visibility"";a:1:{i:0;s:7:""visible"";}s:13:""_thumbnail_id"";a:1:{i:0;s:2:""35"";}s:11:""_tax_status"";a:1:{i:0;s:7:""taxable"";}s:10:""_tax_class"";a:1:{i:0;s:0:"""";}s:14:""_purchase_note"";a:1:{i:0;s:0:"""";}s:9:""_featured"";a:1:{i:0;s:2:""no"";}s:7:""_weight"";a:1:{i:0;s:3:""2.5"";}s:7:""_length"";a:1:{i:0;s:2:""12"";}s:6:""_width"";a:1:{i:0;s:2:""12"";}s:7:""_height"";a:1:{i:0;s:1:""6"";}s:14:""_regular_price"";a:1:{i:0;s:0:"""";}s:11:""_sale_price"";a:1:{i:0;s:0:"""";}s:22:""_sale_price_dates_from"";a:1:{i:0;s:0:"""";}s:20:""_sale_price_dates_to"";a:1:{i:0;s:0:"""";}s:18:""_sold_individually"";a:1:{i:0;s:0:"""";}s:13:""_manage_stock"";a:1:{i:0;s:2:""no"";}s:11:""_backorders"";a:1:{i:0;s:2:""no"";}s:6:""_stock"";a:1:{i:0;s:0:"""";}s:11:""_upsell_ids"";a:1:{i:0;s:6:""a:0:{}"";}s:14:""_crosssell_ids"";a:1:{i:0;s:24:""a:2:{i:0;i:54;i:1;i:22;}"";}s:13:""_stock_status"";a:1:{i:0;s:7:""instock"";}s:16:""_product_version"";a:1:{i:0;s:5:""2.6.8"";}s:22:""_product_image_gallery"";a:1:{i:0;s:5:""34,35"";}s:17:""_wpb_vc_js_status"";a:1:{i:0;s:5:""false"";}s:11:""total_sales"";a:1:{i:0;s:1:""0"";}s:4:""_sku"";a:1:{i:0;s:0:"""";}s:16:""_wc_rating_count"";a:1:{i:0;s:6:""a:0:{}"";}s:18:""_wc_average_rating"";a:1:{i:0;s:1:""0"";}s:16:""_wc_review_count"";a:1:{i:0;s:1:""0"";}s:26:""_wcj_crowdfunding_goal_sum"";a:1:{i:0;s:1:""0"";}s:27:""_wcj_crowdfunding_startdate"";a:1:{i:0;s:0:"""";}s:26:""_wcj_crowdfunding_deadline"";a:1:{i:0;s:0:"""";}s:6:""_price"";a:2:{i:0;s:5:""25.00"";i:1;s:5:""25.00"";}}",0,,0,open,open
105,"Men's Sweat Pants","2016-11-15 17:49:33",,variation,"[{""name"":""Apparel"",""slug"":""apparel""},{""name"":""Men"",""slug"":""men""},{""name"":""Sweatpants"",""slug"":""sweatpants""}]",25.00,,publish,http://camptracy.nlcinkstore.com/product/mens-sweat-pants/?attribute_pa_size=2xl&attribute_pa_color=gray,"Camp Tracy,Men,Sweatpants",,,visible,no,instock,25.00,0,no,no,,2.50,12,12,6,in,no,no,,no,no,yes,no,yes,taxable,,http://camptracy.nlcinkstore.com/wp-content/uploads/2016/11/ayc-ct-swetpants-mens-green.png,no,,,a:0:{},,,,yes,yes,,,open,0.00,0,,,,[],"a:22:{s:17:""_vc_post_settings"";a:1:{i:0;s:30:""a:1:{s:10:""vc_grid_id"";a:0:{}}"";}s:18:""attribute_pa_color"";a:1:{i:0;s:4:""gray"";}s:17:""attribute_pa_size"";a:1:{i:0;s:3:""2xl"";}s:13:""_stock_status"";a:1:{i:0;s:7:""instock"";}s:14:""_regular_price"";a:1:{i:0;s:5:""25.00"";}s:11:""_sale_price"";a:1:{i:0;s:0:"""";}s:22:""_sale_price_dates_from"";a:1:{i:0;s:0:"""";}s:20:""_sale_price_dates_to"";a:1:{i:0;s:0:"""";}s:6:""_price"";a:1:{i:0;s:5:""25.00"";}s:4:""_sku"";a:1:{i:0;s:0:"""";}s:13:""_thumbnail_id"";a:1:{i:0;s:1:""0"";}s:8:""_virtual"";a:1:{i:0;s:2:""no"";}s:13:""_downloadable"";a:1:{i:0;s:2:""no"";}s:7:""_weight"";a:1:{i:0;s:0:"""";}s:7:""_length"";a:1:{i:0;s:0:"""";}s:6:""_width"";a:1:{i:0;s:0:"""";}s:7:""_height"";a:1:{i:0;s:0:"""";}s:13:""_manage_stock"";a:1:{i:0;s:2:""no"";}s:15:""_download_limit"";a:1:{i:0;s:0:"""";}s:16:""_download_expiry"";a:1:{i:0;s:0:"""";}s:19:""_downloadable_files"";a:1:{i:0;s:0:"""";}s:22:""_variation_description"";a:1:{i:0;s:0:"""";}}",89,,0,open,open
113,"Men's Sweat Pants","2016-11-15 17:49:33",,variation,"[{""name"":""Apparel"",""slug"":""apparel""},{""name"":""Men"",""slug"":""men""},{""name"":""Sweatpants"",""slug"":""sweatpants""}]",25.00,,publish,http://camptracy.nlcinkstore.com/product/mens-sweat-pants/?attribute_pa_size=s&attribute_pa_color=gray,"Camp Tracy,Men,Sweatpants",,,visible,no,instock,25.00,0,no,no,,2.50,12,12,6,in,no,no,,no,no,yes,no,yes,taxable,,http://camptracy.nlcinkstore.com/wp-content/uploads/2016/11/ayc-ct-swetpants-mens-green.png,no,,,a:0:{},,,,yes,yes,,,open,0.00,0,,,,[],"a:9:{s:17:""_vc_post_settings"";a:1:{i:0;s:30:""a:1:{s:10:""vc_grid_id"";a:0:{}}"";}s:18:""attribute_pa_color"";a:1:{i:0;s:4:""gray"";}s:17:""attribute_pa_size"";a:1:{i:0;s:1:""s"";}s:13:""_stock_status"";a:1:{i:0;s:7:""instock"";}s:14:""_regular_price"";a:1:{i:0;s:5:""25.00"";}s:11:""_sale_price"";a:1:{i:0;s:0:"""";}s:22:""_sale_price_dates_from"";a:1:{i:0;s:0:"""";}s:20:""_sale_price_dates_to"";a:1:{i:0;s:0:"""";}s:6:""_price"";a:1:{i:0;s:5:""25.00"";}}",89,,0,open,open
112,"Men's Sweat Pants","2016-11-15 17:49:33",,variation,"[{""name"":""Apparel"",""slug"":""apparel""},{""name"":""Men"",""slug"":""men""},{""name"":""Sweatpants"",""slug"":""sweatpants""}]",25.00,,publish,http://camptracy.nlcinkstore.com/product/mens-sweat-pants/?attribute_pa_size=m&attribute_pa_color=forest-green,"Camp Tracy,Men,Sweatpants",,,visible,no,instock,25.00,0,no,no,,2.50,12,12,6,in,no,no,,no,no,yes,no,yes,taxable,,http://camptracy.nlcinkstore.com/wp-content/uploads/2016/11/ayc-ct-swetpants-mens-green.png,no,,,a:0:{},,,,yes,yes,,,open,0.00,0,,,,[],"a:9:{s:17:""_vc_post_settings"";a:1:{i:0;s:30:""a:1:{s:10:""vc_grid_id"";a:0:{}}"";}s:18:""attribute_pa_color"";a:1:{i:0;s:12:""forest-green"";}s:17:""attribute_pa_size"";a:1:{i:0;s:1:""m"";}s:13:""_stock_status"";a:1:{i:0;s:7:""instock"";}s:14:""_regular_price"";a:1:{i:0;s:5:""25.00"";}s:11:""_sale_price"";a:1:{i:0;s:0:"""";}s:22:""_sale_price_dates_from"";a:1:{i:0;s:0:"""";}s:20:""_sale_price_dates_to"";a:1:{i:0;s:0:"""";}s:6:""_price"";a:1:{i:0;s:5:""25.00"";}}",89,,0,open,open
111,"Men's Sweat Pants","2016-11-15 17:49:33",,variation,"[{""name"":""Apparel"",""slug"":""apparel""},{""name"":""Men"",""slug"":""men""},{""name"":""Sweatpants"",""slug"":""sweatpants""}]",25.00,,publish,http://camptracy.nlcinkstore.com/product/mens-sweat-pants/?attribute_pa_size=m&attribute_pa_color=gray,"Camp Tracy,Men,Sweatpants",,,visible,no,instock,25.00,0,no,no,,2.50,12,12,6,in,no,no,,no,no,yes,no,yes,taxable,,http://camptracy.nlcinkstore.com/wp-content/uploads/2016/11/ayc-ct-swetpants-mens-green.png,no,,,a:0:{},,,,yes,yes,,,open,0.00,0,,,,[],"a:9:{s:17:""_vc_post_settings"";a:1:{i:0;s:30:""a:1:{s:10:""vc_grid_id"";a:0:{}}"";}s:18:""attribute_pa_color"";a:1:{i:0;s:4:""gray"";}s:17:""attribute_pa_size"";a:1:{i:0;s:1:""m"";}s:13:""_stock_status"";a:1:{i:0;s:7:""instock"";}s:14:""_regular_price"";a:1:{i:0;s:5:""25.00"";}s:11:""_sale_price"";a:1:{i:0;s:0:"""";}s:22:""_sale_price_dates_from"";a:1:{i:0;s:0:"""";}s:20:""_sale_price_dates_to"";a:1:{i:0;s:0:"""";}s:6:""_price"";a:1:{i:0;s:5:""25.00"";}}",89,,0,open,open
110,"Men's Sweat Pants","2016-11-15 17:49:33",,variation,"[{""name"":""Apparel"",""slug"":""apparel""},{""name"":""Men"",""slug"":""men""},{""name"":""Sweatpants"",""slug"":""sweatpants""}]",25.00,,publish,http://camptracy.nlcinkstore.com/product/mens-sweat-pants/?attribute_pa_size=l&attribute_pa_color=forest-green,"Camp Tracy,Men,Sweatpants",,,visible,no,instock,25.00,0,no,no,,2.50,12,12,6,in,no,no,,no,no,yes,no,yes,taxable,,http://camptracy.nlcinkstore.com/wp-content/uploads/2016/11/ayc-ct-swetpants-mens-green.png,no,,,a:0:{},,,,yes,yes,,,open,0.00,0,,,,[],"a:9:{s:17:""_vc_post_settings"";a:1:{i:0;s:30:""a:1:{s:10:""vc_grid_id"";a:0:{}}"";}s:18:""attribute_pa_color"";a:1:{i:0;s:12:""forest-green"";}s:17:""attribute_pa_size"";a:1:{i:0;s:1:""l"";}s:13:""_stock_status"";a:1:{i:0;s:7:""instock"";}s:14:""_regular_price"";a:1:{i:0;s:5:""25.00"";}s:11:""_sale_price"";a:1:{i:0;s:0:"""";}s:22:""_sale_price_dates_from"";a:1:{i:0;s:0:"""";}s:20:""_sale_price_dates_to"";a:1:{i:0;s:0:"""";}s:6:""_price"";a:1:{i:0;s:5:""25.00"";}}",89,,0,open,open
109,"Men's Sweat Pants","2016-11-15 17:49:33",,variation,"[{""name"":""Apparel"",""slug"":""apparel""},{""name"":""Men"",""slug"":""men""},{""name"":""Sweatpants"",""slug"":""sweatpants""}]",25.00,,publish,http://camptracy.nlcinkstore.com/product/mens-sweat-pants/?attribute_pa_size=l&attribute_pa_color=gray,"Camp Tracy,Men,Sweatpants",,,visible,no,instock,25.00,0,no,no,,2.50,12,12,6,in,no,no,,no,no,yes,no,yes,taxable,,http://camptracy.nlcinkstore.com/wp-content/uploads/2016/11/ayc-ct-swetpants-mens-green.png,no,,,a:0:{},,,,yes,yes,,,open,0.00,0,,,,[],"a:9:{s:17:""_vc_post_settings"";a:1:{i:0;s:30:""a:1:{s:10:""vc_grid_id"";a:0:{}}"";}s:18:""attribute_pa_color"";a:1:{i:0;s:4:""gray"";}s:17:""attribute_pa_size"";a:1:{i:0;s:1:""l"";}s:13:""_stock_status"";a:1:{i:0;s:7:""instock"";}s:14:""_regular_price"";a:1:{i:0;s:5:""25.00"";}s:11:""_sale_price"";a:1:{i:0;s:0:"""";}s:22:""_sale_price_dates_from"";a:1:{i:0;s:0:"""";}s:20:""_sale_price_dates_to"";a:1:{i:0;s:0:"""";}s:6:""_price"";a:1:{i:0;s:5:""25.00"";}}",89,,0,open,open
108,"Men's Sweat Pants","2016-11-15 17:49:33",,variation,"[{""name"":""Apparel"",""slug"":""apparel""},{""name"":""Men"",""slug"":""men""},{""name"":""Sweatpants"",""slug"":""sweatpants""}]",25.00,,publish,http://camptracy.nlcinkstore.com/product/mens-sweat-pants/?attribute_pa_size=xl&attribute_pa_color=forest-green,"Camp Tracy,Men,Sweatpants",,,visible,no,instock,25.00,0,no,no,,2.50,12,12,6,in,no,no,,no,no,yes,no,yes,taxable,,http://camptracy.nlcinkstore.com/wp-content/uploads/2016/11/ayc-ct-swetpants-mens-green.png,no,,,a:0:{},,,,yes,yes,,,open,0.00,0,,,,[],"a:9:{s:17:""_vc_post_settings"";a:1:{i:0;s:30:""a:1:{s:10:""vc_grid_id"";a:0:{}}"";}s:18:""attribute_pa_color"";a:1:{i:0;s:12:""forest-green"";}s:17:""attribute_pa_size"";a:1:{i:0;s:2:""xl"";}s:13:""_stock_status"";a:1:{i:0;s:7:""instock"";}s:14:""_regular_price"";a:1:{i:0;s:5:""25.00"";}s:11:""_sale_price"";a:1:{i:0;s:0:"""";}s:22:""_sale_price_dates_from"";a:1:{i:0;s:0:"""";}s:20:""_sale_price_dates_to"";a:1:{i:0;s:0:"""";}s:6:""_price"";a:1:{i:0;s:5:""25.00"";}}",89,,0,open,open
107,"Men's Sweat Pants","2016-11-15 17:49:33",,variation,"[{""name"":""Apparel"",""slug"":""apparel""},{""name"":""Men"",""slug"":""men""},{""name"":""Sweatpants"",""slug"":""sweatpants""}]",25.00,,publish,http://camptracy.nlcinkstore.com/product/mens-sweat-pants/?attribute_pa_size=xl&attribute_pa_color=gray,"Camp Tracy,Men,Sweatpants",,,visible,no,instock,25.00,0,no,no,,2.50,12,12,6,in,no,no,,no,no,yes,no,yes,taxable,,http://camptracy.nlcinkstore.com/wp-content/uploads/2016/11/ayc-ct-swetpants-mens-green.png,no,,,a:0:{},,,,yes,yes,,,open,0.00,0,,,,[],"a:9:{s:17:""_vc_post_settings"";a:1:{i:0;s:30:""a:1:{s:10:""vc_grid_id"";a:0:{}}"";}s:18:""attribute_pa_color"";a:1:{i:0;s:4:""gray"";}s:17:""attribute_pa_size"";a:1:{i:0;s:2:""xl"";}s:13:""_stock_status"";a:1:{i:0;s:7:""instock"";}s:14:""_regular_price"";a:1:{i:0;s:5:""25.00"";}s:11:""_sale_price"";a:1:{i:0;s:0:"""";}s:22:""_sale_price_dates_from"";a:1:{i:0;s:0:"""";}s:20:""_sale_price_dates_to"";a:1:{i:0;s:0:"""";}s:6:""_price"";a:1:{i:0;s:5:""25.00"";}}",89,,0,open,open
106,"Men's Sweat Pants","2016-11-15 17:49:33",,variation,"[{""name"":""Apparel"",""slug"":""apparel""},{""name"":""Men"",""slug"":""men""},{""name"":""Sweatpants"",""slug"":""sweatpants""}]",25.00,,publish,http://camptracy.nlcinkstore.com/product/mens-sweat-pants/?attribute_pa_size=2xl&attribute_pa_color=forest-green,"Camp Tracy,Men,Sweatpants",,,visible,no,instock,25.00,0,no,no,,2.50,12,12,6,in,no,no,,no,no,yes,no,yes,taxable,,http://camptracy.nlcinkstore.com/wp-content/uploads/2016/11/ayc-ct-swetpants-mens-green.png,no,,,a:0:{},,,,yes,yes,,,open,0.00,0,,,,[],"a:22:{s:17:""_vc_post_settings"";a:1:{i:0;s:30:""a:1:{s:10:""vc_grid_id"";a:0:{}}"";}s:18:""attribute_pa_color"";a:1:{i:0;s:12:""forest-green"";}s:17:""attribute_pa_size"";a:1:{i:0;s:3:""2xl"";}s:13:""_stock_status"";a:1:{i:0;s:7:""instock"";}s:14:""_regular_price"";a:1:{i:0;s:5:""25.00"";}s:11:""_sale_price"";a:1:{i:0;s:0:"""";}s:22:""_sale_price_dates_from"";a:1:{i:0;s:0:"""";}s:20:""_sale_price_dates_to"";a:1:{i:0;s:0:"""";}s:6:""_price"";a:1:{i:0;s:5:""25.00"";}s:4:""_sku"";a:1:{i:0;s:0:"""";}s:13:""_thumbnail_id"";a:1:{i:0;s:1:""0"";}s:8:""_virtual"";a:1:{i:0;s:2:""no"";}s:13:""_downloadable"";a:1:{i:0;s:2:""no"";}s:7:""_weight"";a:1:{i:0;s:0:"""";}s:7:""_length"";a:1:{i:0;s:0:"""";}s:6:""_width"";a:1:{i:0;s:0:"""";}s:7:""_height"";a:1:{i:0;s:0:"""";}s:13:""_manage_stock"";a:1:{i:0;s:2:""no"";}s:15:""_download_limit"";a:1:{i:0;s:0:"""";}s:16:""_download_expiry"";a:1:{i:0;s:0:"""";}s:19:""_downloadable_files"";a:1:{i:0;s:0:"""";}s:22:""_variation_description"";a:1:{i:0;s:0:"""";}}",89,,0,open,open
114,"Men's Sweat Pants","2016-11-15 17:49:33",,variation,"[{""name"":""Apparel"",""slug"":""apparel""},{""name"":""Men"",""slug"":""men""},{""name"":""Sweatpants"",""slug"":""sweatpants""}]",25.00,,publish,http://camptracy.nlcinkstore.com/product/mens-sweat-pants/?attribute_pa_size=s&attribute_pa_color=forest-green,"Camp Tracy,Men,Sweatpants",,,visible,no,instock,25.00,0,no,no,,2.50,12,12,6,in,no,no,,no,no,yes,no,yes,taxable,,http://camptracy.nlcinkstore.com/wp-content/uploads/2016/11/ayc-ct-swetpants-mens-green.png,no,,,a:0:{},,,,yes,yes,,,open,0.00,0,,,,[],"a:9:{s:17:""_vc_post_settings"";a:1:{i:0;s:30:""a:1:{s:10:""vc_grid_id"";a:0:{}}"";}s:18:""attribute_pa_color"";a:1:{i:0;s:12:""forest-green"";}s:17:""attribute_pa_size"";a:1:{i:0;s:1:""s"";}s:13:""_stock_status"";a:1:{i:0;s:7:""instock"";}s:14:""_regular_price"";a:1:{i:0;s:5:""25.00"";}s:11:""_sale_price"";a:1:{i:0;s:0:"""";}s:22:""_sale_price_dates_from"";a:1:{i:0;s:0:"""";}s:20:""_sale_price_dates_to"";a:1:{i:0;s:0:"""";}s:6:""_price"";a:1:{i:0;s:5:""25.00"";}}",89,,0,open,open
